;name;phones;mails;address;company;people;inn
34;retail-realty.ru;89037254960,84953800375,89037267427,88910111213,81819202122,84952287208;228-72-08info@retail-realty.ru,830info@retail-realty.ru,726-74-27ate@retail-realty.ru,info@retail-realty.ru,726-74-27info@retail-realty.ru;Москва, ул. Стрелецкая	Москва, ул. Красного	Москва, ул. Высокая	Москва, ул. Норильская	Москва, ул. Енисейская	Москва, ул. Ярцевская	Москва, ул. Декабристов	Реутов, ул. Южная	Москва, ул. Базовская	Москва, ул. Балтийская	Москва, ул. Феодосийская	Москва, ул. Судостроительная	Таганский, улица Рогожский	Москва, ул. Новопесчаная	Москва, ул. Флотская	Москва, ул. Фрязевская	Москва, ул. Недорубова	Москва, ул. Вертолетчиков	Москва, ул. Панфилова	Москва, ул. Профсоюзная;;;7733829419
35;vk.com/retail_realty;84953800375;;;;;
36;ok.ru/group/56803834462223;;;;;;
37;wa.me/79037254960;;;;;;
38;twitter.com/realtyretail;;;;;;
39;youtube.com/channel/ucfim3uz0jscizsa6xcy4a7q;;;;;;
40;nasledie-kvartal.ru;;;;;;
41;vk.com/razum.life30;;;;;;
42;ok.ru/group/68865895891005;;;;;;
43;youtube.com/c/%D0%A0%D0%90%D0%97%D0%A3%D0%9C;;;;;;
44;vysotnik74.ru/proektnie-deklaracii;83517978253,80000060120,80000001420,80000044920,89000213342,80000064620,83517422651,80000038420,80000009520;visotnik89@ya.ru,visotnik89@yandex.ru;Челябинск, ул.Каслинская	Магнитогорск, ул.Жукова	Магнитогорск, ул. Лесопарковая	Магнитогорск, ул.Лесопарковая	Миасское, ул.Спортивная	Магнитогорск, ул. Жукова;;;
45;vk.com/public207989896;89102445556;;;;;
46;wa.me/79102445556;;;;;;
47;trest3.com/projects/prochie-obekty/zhiloy-dom-kanash-ulitsa-30-let-pobedy-29/%D0%BE%D0%BC-29-%D0%B3.%D0%BA%D0%B0%D0%BD%D0%B0%D1%88.html;;strtrest3@yandex.ru;Чебоксары, улица Байдула	Новочебоксарск, улица Советская	Чебоксары, ул. Ярославская	Чебоксары, улица Новогородская	Чебоксары, улица Щорса	Шумерля, улица Мира	Канаш, улица Свободы	Канаш, улица Ленина	Шумерля, улица Мопра	Чебоксары, улица Калинина	Чебоксары, улица Базарная	Канаш, улица Машиностроителей;СЗ ;;
48;donstroy.biz/?p=129;;;;Донстрой;;
49;razvitiensk54.ru;;;;;;
50;vita-park.ru;84955855354,84955855353,84997000333;5855353@gmail.com;Салтыковка, улица Коллективная	Салтыковка,ул. Коллективная;;;
51;youtube.com/watch?v=zazi9uzb25w;;;;;;
52;granelle.ru/objects/lukino;;;;;;
53;vk.com/atmyar;;;;;;
54;6543210.ru;89819951057,88123259191,89819951063,89819310392,89819310389,89819310397,88005519185,89811014312,88125610183,88126543210,88125612956,88125614398,89818015687,89819951062,88125614397,88125610268,89811014311,89312316816;3ds@78stroy.ru,931-03-97pimenov.pa@78stroy.ru,sukhorukkova.na@78stroy.ru,931-03-92sheveleva.av@78stroy.ru,salikeeva.iv@78stroy.ru,fedorova.aa@78stroy.ru,995-10-57fomenkov.ai@78stroy.ru,231-68-16golos.ka@78stroy.ru,lst@78stroy.ru,995-10-62kulagin.lv@78stroy.ru,ivanova.lv@78stroy.ru,931-03-89zakharova.nv@78stroy.ru,dovgal@78stroy.ru,golos.ka@78stroy.ru,alekseeva.tm@78stroy.ru,zhavoronkova.nn@78stroy.ru,romanovskaya@78stroy.ru,job@78stroy.ru,101-43-11zhupeev.sn@78stroy.ru,averchenkova@78stroy.ru,101-43-12shcheglova.oa@78stroy.ru;Приозерск, ул. Суворова	Колпино, ул. Понтонная	Гатчина, ул. Рощинская	Санкт-Петербург, ул. Миллионная	Санкт-Петербург, ул. Софийская	Гатчина, ул. Изотова	Санкт-Петербург, ул. Дыбенко	Выборг, ул. Травяная	Гатчина, ул. Чехова	Санкт-Петербург, ул. Будапештская;;;
55;youtube.com/channel/ucojwbjej27d-xfbt2h9xo0g;;;;;;
56;brand-container.ru/?utm_campaign=priority&utm_medium=maps&utm_source=yandex;89154965454;;;;;
57;youtube.com/channel/ucpsbwdbk3dzpwmaoxnfrkcq;;;;;;
58;dsk-omsk.ru/pages/zhiloj-dom-po-ul-gospitalnaja-19-a;89136111748,89136212512,89136111744;priem@dsk-omsk.ru,contact.us@domain.com;;;;
59;aovm.ru/2-ya-frunzenskaya-ulica;84955518328;;Москва, улица Стасовой;;;
60;pfa-group.ru;88127777740,89777006446,89218455253,84951506446;bo@pfa-group.ru,info@pfa-group.ru;;ПФА;;
61;lotos-park.ru;88999999999,83021002495,80000000000,83549999999;;Астрахань, ул. Бакинская;СБЕРБАНК	Сбербанк;;
62;urbangroup.ru/sol-system;84952282288,84955852222,84952150093,84952867444,84959831131,89169300857,84952818181,84952280888,84955000004,84955267070,84951351517,84959808990,88005556017;support@egrp.ru;Москва, улица Верхняя	Москва, улица Искры	Москва, улица Серпуховский	Пушкино, улица Просвещения;;;
63;dsk.vrn.ru/proekty/iv-gsk;84732639977,84732635531;dskvrn@dskvrn.ru;;;;
64;ok.ru/dsk.vrn;;;;;;
65;vk.com/dsk_vrn;;;;СЗ ;;
66;nsk-sk.ru;;;;;;
67;nika-ust.ru;89060633000,89152616181,84670820511;sakhavat_azimov@mail.ru,info@nika-ust.ru,nika-justice@mail.ru;;ЮФ НИКА-ЮСТ;;7725325030
68;wa.me/79060633000;;;;;;
69;t.me/+i11lfwmdaz4xyzky;;;;;;
70;viber.click/79060633000;;;;;;
71;sozs.ru/kvartira-v-saratove/riolit-d4_palnirovka.php;;;;;;
72;tish-spas.turbo.site;;;;;;
73;skam22.ru/object/?id=4;;info@skam22.ru;Барнаул, ул. Павловский	Барнаул, улица Попова;;;
74;vk.com/id698667930;89015081588;;;;;
75;wa.me/79015081588;;;;;;
76;mrqz.me/6272d75c2cac71004d7a4203;;;;;;
77;pst29.ru;88910111214,88003337890,89642917848;info@pst29.ru;Архангельск, ул. Вологодская	Архангельск, ул. Ильинская	Архангельск, ул. Попова;;;2901155959,2901280773
78;pst29.ru/novostroy/zhk-%C2%ABonegin%C2%BB;88910111214,89642917848;info@pst29.ru;;;;
79;aovm.ru/bolshoj-zlatoustinskij-pereulok;84955518328;;Москва, улица Макаренко	Москва, улица Покровка	Москва, улица Кузнецкий;;;
80;t.me/ofis_prodazh;;;;;;
81;rodzem.ru;84956461334,84954142012,84955404045,84951182028,84954141209;info@rodzem.ru,ckp@rodzem.ru,oop@rodzem.ru;;;;
82;rodzem.ru/zemelnie-uchastki/idalgo;84956461334,84951182028;;;;;
83;t.me/r4s_official;84951254690;;;;;
84;wa.me/79311112910;;;;;;
85;youtube.com/channel/ucodpk21duagapwuegjdxjga;;;;;;
86;mn73.ru;89041810657,89510980454,89603759213,88422277790;servis@dom73.ru,mail@mn73.ru,hr@dom73.ru,office@dom73.ru,HR@dom73.com,it@dom73.ru,marketing@dom73.ru;Ульяновск, ул. Гончарова;;;7325169884,7325107341
87;mn73.ru/projects/zhk-norvegiya;88422277790;office@dom73.ru;;;;
88;vk.link/kupisebecottage;89111191076;;;;;
89;wa.me/79111191076;;;;;;
90;studio.youtube.com/channel/ucx24uzijcwapvtlvg_0xvvw/videos/upload?filter=%5B%5D&sort=%7B%22columntype%22;;;;;;
91;vk.com/kupisebecottage;89111191076;;;;;
92;viber.click/79111191076;;;;;;
93;t.me/kupisvoycottege;;;;;;
94;zemlya-pro.ru;89064561919;zemlya-pro@mail.ru;Астрахань, ул. Адмиралтейская;Гекса-Лотос	ИК 	МСД инвест;;
95;ok.ru/profile/212258137019;;;;;;
96;t.me/zemlya_pro_rf;;;;;;
97;twitter.com/zemlya_pro_ru;;;;;;
98;wa.me/79064561919;;;;;;
99;vk.com/public197136414;89064561919;;;;;
100;youtube.com/channel/ucxyfx2yp93liiviwwb6ducg?view_as=subscriber;;;;;;
101;zizyulya-maria.clients.site;;;;;;
102;shkapina.ru;88124094140,88123896079;info@shkapina.ru;Санкт-Петербург, ул. Шкапина;;;
103;shkapina-22.ru;88124094140;info@shkapina.ru;Санкт-Петербург, ул. Шкапина;;;
104;krovan.ru/essentuki/54_kvartirnyi_zhiloi_dom_po_ul._deputatskaya_7.html;;;Анапа, ул. Ленина;;;
105;ok.ru/group/55017611460705;;;;;;
106;viber.click/79139858312;;;;;;
107;vk.com/stroy54;89513925115;;;;;
108;twitter.com/stroy_54;;;;;;
109;stroy54.ru;89139192543,89513925115,83832138312;info@stroy54.ru;;;;
110;wa.me/79139858312;;;;;;
111;t.me/stroy54ru;;;;;;
112;sk-continent.ru/medoviy/opisanie;;;;;;
113;kpd2.ru;88387221086,85086111013;office@kpd2.ru;Ульяновск, ул. Минаева	Ульяновск, ул. Корюкина;;;
114;skystartv.narod.ru;89153951272;9153951272@mail.ru;;;;9153951272
115;vk.com/zhk_avrora_yalta;;;;;;
116;t.me/office_anapa;;;;;;
117;kvsspb.ru;88122102318,88122105708,88126455555,88122105904,88124456170;A.Fomina@kvsspb.ru,E.Zimina@kvsspb.ru,sales@kvsspb.ru,N.Hromova@kvsspb.ru;Сертолово, ул Школьная	Янино-1, ул Ясная	Сертолово, ул Тихвинская	Лесная, ул. Грибалёвой	Всеволожский, ул Вересковая	Коммунар, ул Железнодорожная	Сертолово, ул Мира	Мурино, ул Екатерининская	Пушкин, ул. Гусарская	Янино-1, ул Новая	Янино-1, ул. Ясная	Сертолово, ул. Тихвинская	Хабаровск, ул Рокоссовского	Санкт-Петербург, ул. Грибалёвой	Янино-1, ул Голландская;СМП Банк	БАНК 	БАНК УРАЛСИБ	Россельхозбанк;;7802866742
118;kvsspb.ru/obekty/klubniy-dom-g9;88126455555;sales@kvsspb.ru;Лесная, ул. Грибалёвой;;;
119;oaorus.ru/objects/erected/35/info;89248008983;;;;;
120;tm-6.ru;82757272486,80743463795,82617272636,82617075807,87474702220,83174767242,80544934704,80657068724,82616372486,80657275637,82616361487,82706541746,82727272484,81454856495,83316175757,89724961635,80656563547,84957894302,82616372722,80654142617,89727165637,84277475756,80727272706,80544934706,89727270614,84717434782,89416170637,82617061786,80657577722,80717263757,82426548486,80756563726,80727570752,80654162724,82727072346,82496548727,89494970614,84952494888,82637972637,82426548484,83637263617,82727272724,82726163724,83439352920,80617255654,82727272487,86541425444,82727227724,86541657272,80756379726,89766548756,86563654872,86534657249,82727575667,89744941432,80654848797,80656172767,81656775652,83637272666,84955963054,82626372426,84724849345,84849344949,89346170637,86541424934,89494949656,84955963179,80716563726,85494934782,82494934486,85449504934,80782841804,80544949707,82616372756,82617061782,82727065416,80654163726,80756543726,80654161716,89716163547,89416170635,87570726120,80654848796,84952494848,89744961635,80657275635,89165758811,89727249656,82227222227,82704862724,82657848757,86563654875,86541427234,81657242657,89363630726,82654865706,87249493420,85636148756,84657272612,85726572316,82727234486,84842727820,82657272612,80657075732,86139352920,82615572494,82494934636,84952494812,84726163277,85436148756,81417065637,89716163544,82706151757,81655471494,82723433617,80656563727;op@tm-6.ru,contr@tm-6.ru,lg@tm-6.ru,kg@tm-6.ru,mail@tm-6.ru;;;Жучков В. А.;6541617120,6365366520,5449345020,7272657020,6575756127,7270614220,7466697420
121;lesnoigorodok.ru;84951811358;;;;;
122;lesposelok.ru;84956498111,87278330129,89032773553,84955073235,87461910053;lesposelok@yandex.ru;Москва, ул. Цюрупы;ЭнергоСбытВолга;;
123;youtube.com/channel/ucdndewixwab85n5axwqhsfa;;;;;;
124;kad11.ru;89009801423;kad-in11@yandex.ru;;;;
125;viber.click/79091239106;;;;;;
126;vk.com/kadin11;;;;;;
127;wa.me/79091239106;;;;;;
128;1academy.spb.ru;;;;;;
129;poselki1.ru;89219671003,89213654362,89210966680,89219837827,87847404282,89213018358,89218804784,89112154577,89219137690,88005006453,89219665043,88124031780,89112905623,89219383249,88126481738;clients@poselki1.ru;Санкт-Петербург, ул. Торжковская	СПб, ул. Торжковская;;;
130;vk.com/1academic;;;;;;
131;wa.me/79219665043;;;;;;
132;viber.click/79219665043;;;;;;
133;parkplaza-alushta.ru;84999387155;info@parkplaza-alushta.ru;Алушта, ул. Ленина;;;
134;sevensuns.ru;80020041504,80020041404,80020042104,80442044004,80439002004,82006400200,80418002004,80415002004,88007772020,80426041004,80421042204,80422041804,84997772020,80447002004,80020041800,88127772020,80020041004;sales.info@sevensuns.ru,spb@sevensuns.ru;Москва, ул. Люблинская	Санкт-Петербург, ул. Вадима	Москва, ул. Илимская	Москва, ул. Лосиноостровская;;;
135;ya-romantik.ru;88127111111,80000000034,88127772020;;Санкт-Петербург, улица Вадима	Санкт-Петербург, ул. Льва;;;
136;mobti.ru/filialy/kts-domodedovskiy;84985688888;mobti@mosreg.ru;;;;
137;vk.com/mobti;84985688888;;;;;
138;meta.ltd;87746557670,84952550508,89999999999,84959260912;;Сосенки, ул. Сосновая	Москва, улица Куликовская	Москва, ул. Куликовская;Ситилинк	MCG	GTD	Catnet	ВИАНОР	Консалт	21-vek	MFood	It Group	Росбанк	Сбербанк	РИО	Адвопро	Банк ВТБ	МОЭСК	Ланит	Консталт	АдвоПро	B2c	ИТ-ГРАД	Мета	JBR	МЕТА	Гольфстрим;Леонова С. А.	Савина Т. О.	Савин Т. О.;7727320976
139;meta.ltd/limpopo;84959260912,84952550508;;;;;
140;obskoemore.ru;89139175274,89139872186,83832877693,83832995274;obskoemore.klassika@gmail.com;;АВС-Девелопмент;;
141;vk.com/klassika_v_morskom;89139175472,89139175274;;;;;
142;vk.com/club205376239;89228869491;;;Сельский дом;;
143;tochno.life;88612071273,88612060318,88612043983,88612066452,88612112786,88004444098,88612112983,88005504165,88003508591,88612066680,88612040101,88612066449,88612071054,88612060718,88612040746,88006000191,88612060715,88612066445,88612066301,88005050300;tender@russ-modul.ru;Краснодар, ул Мачуги	Краснодар, ул. Героев-Разведчиков	Тихорецк, ул. Калинина	Динская, ул. Красная	Тихорецк, ул.Калинина	Знаменский, ул. Светлая	Краснодар, ул. Старокубанская	ООО, ул Мачуги	Краснодар, ул. Бородинская	Краснодар, ул. Героя	Краснодар, ул. Автолюбителей	Краснодар, ул.Старокубанская	Краснодар, ул. Мачуги	Краснодар, ул. Леонида	Краснодар, ул. Дальняя	Туапсе, ул. Портовиков	Армавир, ул. Розы	Новороссийск, ул. Имени;;;2312296540,2309137163,2312295177,2312270920,2312247085,4300021265,4300021630,2312297819,2312213110
144;imperialgorod.ru/objects/zhk-loris-park;88612040101;;;;;2312295177
145;klever23.ru/obekty/zhk-territoriya-schastya-ul-dombayskaya;;;;;;
146;transstroy.org;89105192467,89276619094,89053632424,89009000000,89033473984,88005005603;;Астрахань, ул. Трофимова;;;
147;t.me/anosino;;;;;;
148;medik3.ru/index.php/stroyashchiesya-ob-ekty/dzerzhinskij-rajon-3-ij-norskij-per;88007076150,89109659589;206735@bk.ru,medik3@list.ru;Ярославль, ул. Карла	Ярославль, ул. Елены	Ярославль, ул.Большая	Ярославль, ул.Маланова	Ярославль, ул.Полиграфическая	Ярославль, ул. Малая	Ярославль, ул.Карла	Ярославль, ул.Блюхера	Ярославль, ул.Радищева	Ярославль, ул. Маланова	Ярославль, ул.Строителей;;;
149;sferarm.ru;;;;;;
150;zk-polezhaeva.ru;;info.anm@sferarm.ru;Саранск, ул. Льва;;;
151;vdsk.ru;89199910833,84959562167,89852291431,89167442747;vdsk@vdsk.ru;Воскресенск, ул. Московская	Москва, ул. Сретенка	Воскресенск, ул. Куйбышева	Ногинск, ул. Комсомольская	Воскресенск, ул. Ломоносова;КонС-Аудит ГРУПП	ВДСК	Воскресенский домостроительный комбинат;;5038114253
152;vk.com/zaovdsk;89852291431,89197240528,89199910833,89167442747;;Москворецкий, ул. Ломоносова;;;
153;vk.com/metriks_development;88002229092,88612999093;;Краснодар, ул. Заполярная	Краснодар, ул. Краеведа;;;
154;vk.com/rostehinventarizaciya;89504234818;;;;;
155;teplonoginsk.ru;84957900772,89637728800;;;БТГ;;5031112835
156;sm2010.ru/zhk-vremia;;sm527527@mail.ru;Липецк, ул. Шевченко;;;
157;t.me/pik_ru;;;;;;
158;pik.ru;;;;;;
159;youtube.com/channel/ucloyt0q47qyzz1r1kjiizdw;;;;;;
160;vk.com/pikru;;;;;;
161;alekseevskaya-bashnya.amo.ru;88910131415,82829303133,81819202122,84956378517;info@amo.ru;;;;
162;youtube.com/channel/uclgrgxhacixthh7jtjaimva;;;;;;
163;amo.ru;88910131415,82829303133,81819202122,84956378517;info@amo.ru;Москва, ул Бирюлёвская	Москва, ул Грайвороновская	Москва, ул Прянишникова	Москва, ул Подъёмная	Москва, ул Панфилова	Москва, ул Павла	Ленинский, улица Профсоюзная	Москва, ул Нагатинская	Москва, ул Смольная	Москва, ул Азовская	Москва, ул Новаторов;;;
164;vk.com/amooffices;;;;;;
165;vozr76.ru/stroyashhijsya-dom;;Vozrozhdenie1099@gmail.com;;Возрождение;;
166;t.me/https;;;;;;
167;vk.com/brightestate;84957601760;;Татлин, ул. Бакунинская;;;
168;wa.me/74957601760;;;;;;
169;brightestate.ru;84959660156,84953578492,84953578505;send@brightestate.ru,hr@brightestate.ru,hellow@brightestate.ru;Primavera, ул. Волоколамское	Хамовники, улица Усачёва	Рублево, улица Согласия;;;9721075785
170;youtube.com/channel/ucarui9czcmeorzqwdyjxkgg;;;;;;
171;zen.yandex.ru/brightestate;;;;;;
172;youtube.com/channel/uc2ianxs4lc-f0syrs1rht1w;;;;;;
173;kadprocentr.ru;89209848634,81050000000,80281085300;984-86-34mail@kadprocentr.ru,mail@kadprocentr.ru;Рязань, ул. Маяковского	Рязань, ул.Маяковсого	Кораблино, ул.Октябрьская;;;
174;kp-standart.ru;89381420777;info@kp-standart.ru;;;;
175;promingrupp.ru;;;;;;
176;promingrupp.ru/project/babushkinskiy-park;;;;;;
177;wa.me/79196122122;;;;;;
178;vk.com/club112325611;;www.nedv-02@mail.ru;Уфа, ул. Юрия;;;
179;vk.com/club174856865;89273232122,89093533315;;Уфа, ул. Юрия;;;
180;zhk-zvezda-stolicy.ru;;;;;;
181;suvarstroit.ru/zalesnyj-siti;88004441494;info@suvarstroit.ru;Казань, ул. Гавриила	Усады, ул. Уютная;;;
182;aovm.ru/belomorskaya-ulica;84955518328;;Москва, улица Лавочкина;;;
183;kem-estate.ru;89059007001;;;;;
184;homekmv.ru;89620115171,89288150232,89383409279,89383334940,89054166785,89383025762,89283548352,89283203072,89283543849,89064658686,89282200838,89283059000,89283630448,89286580027,89283548359,88003504760,89283542495,89283542621,89283506682,89282444394,89187942975,89283543350,89283269245,89993601374,89283506978,82649212000,89283069516,89283541585,89054463979,89283190606,89288187753,89966315610,89614714741,89888615778,89283447970,89993791556,89283541728,89283579654,89620020946,89283600560;azizova.gulnara.69@mail.ru,alliancekmv@mail.ru;Ессентуки, ул. Долина	Георгиевск, ул. Калинина	Георгиевск, ул. Салогубова	Иноземцево, ул. Шоссейная	Кисловодск, ул. Тельмана	Пятигорск, ул. Университетская	Пятигорск, ул. Орджоникидзе	Ессентуки, ул. Интернациональная	Кисловодск, ул. Куйбышева	Георгиевск, ул. Батакская;;;
185;regioninvest-nsk.ru;;webmaster@example.com;;;;
186;vk.com/pichugimore;;;;;;
187;tpsh.vbi-tambov.ru/emitent.htm;;;;;;
188;dealok.ru;89161190007;an.dealok@yandex.ru;;;;
189;t.me/dealok32;89161190007;;;;;
190;wa.me/79161190007;;;;;;
191;vk.com/an.dealok;89161190007,89066959194,89996213642,89997055493;;;;;
192;aovm.ru/1-ya-kvesisskaya-ulica;84955518328;;Москва, улица Бутырский	Москва, улица Сущёвский	Москва, улица Правды;;;
193;greenga.ru;84952216164,84954191309;land@greenga.ru;;Компания ;;7718520520
194;greenga.ru/poselki/mozhayskoe-shosse/poselok-mozhaiskoe-more;84952216164,84954191309;land@greenga.ru;;Компания ;;
195;jilfond.ru;89607941381,89607929853,89607897917,89607887152,89607888764,83832304277,89039384596,89039380760,89607920032,83832010001,89607915831,89607907284,83832304728,89607909232,89607965230,89607902742,80000001021;evonarha@jilfond.ru,gordeeva.o@jilfond.ru,fofonova@jilfond.ru,chernih@jilfond.ru,tihonova@jilfond.ru,lubimova@jilfond.ru,kuzmin.an@jilfond.ru,sitnik.n@jilfond.ru,shipunova@jilfond.ru,pol@jilfond.ru,yagupova@jilfond.ru,oshlakova.d@jilfond.ru,zvereva@jilfond.ru;Мочище, ул. Дачная	Октябрьский, ул. Локтинская	Кольцово, ул. Кольцово	Новосибирск, улица Полтавская;Базис девелопмент;Рубекина Е. А.	Бексеитов Ю. М.	Пестерова М. А.	Бессмертных Л. В.	Семенова Н. В.	Умрихина Г. И.	Зверева Н. В.	Кузьмину А. Е.	Ошлакова Д. А.	Березина Н. В.	Сухорукова М. В.	Котковская Г. Б.	Цуканова И. А.	Прощалыгин А. М.	Сидорова И. А.	Кожевина А. В.	Шалагина Т. В.	Астраханцева В. А.	Фондис А. Е.;8054127549
196;barnaul.jilfond.ru;88622220001,88612421101,88432536986,84964150101,89050052882,84951092852,89638333090,83512420109,83919369838,84733003898,83912930405,84832772829,89628390711,83832010001,83452578122,88122456886;izvekova.l@jilfond.ru,pd@jilfond.ru;;СЕЛФ	Строительная инициатива	Строительная перспектива	ИСК	Базис девелопмент	МилАн;Федорова А. К.	Булатов К. Р.	Саркисов Г. А.	Харланова А. А.	Шелепова Л. Г.	Буханцев Е. Ю.	Гоман Е. А.	Пучинина Л. П.	Логинова Ю. А.	Семченко О. В.	Сарычев А. А.	Плотников В. А.;8022124764,8022115979,8022123908,8022123544,3022101399,3022104694,2022105433,8022116251
197;youtube.com/channel/uc-cczimuzu2lfpravjafy4g;;;;;;
198;ok.ru/vamnuzhno;;;;;;
199;vk.com/jilfond_barnaul;;;;;;
200;scandidom.com/property/pskov/1;89062210994;sale@scandidom.com,sd@scandidom.com,info@skv53.ru;Псков, ул.Алмазная;;;
201;zemform.ru;84955405888;;;Мособлэнерго;;9705157350
202;zemform.ru/townships/mavrino;84955405888;;;;;
203;greenga.ru/poselki/minskoe-shosse/poselok-volna;84954191309;land@greenga.ru;;Компания ;;
204;leningrad.life;84952410030,88126027533;;;;;
205;t.me/realtyspb;;;;;;
206;vk.com/leningrad.life;88126027533;;;;;
207;riverville.ru;80000000000;;;;;
208;kp-paradise.ru;84958220630,80000000000;info@riverville.ru,test@example.com;;;;
209;ceoestate.ru;;;;;;
210;domentuziastov.ru;;;;;;
211;inv-stroi.ru/chernichnyj.php;;;;;;
212;kmapjs.ru/kvartiry/stepnoy;88002507309;;;;;
213;eskadra-group.ru/atmosfera;;;Владивосток, ул. Пограничная	Владивосток, ул. Стрелковая;;;
214;ang72.ru;;;;;;
215;zolotiye-klyuhci-na-minskoy.narod.ru;89099747728,89150845026;;Ключи-2, ул. Минская	Ключи-2, улица Минская	Ключи, ул.Минская;Sky club;;
216;sjs.ru;81090702000,88005503385,80281076028,80281006028,81050000000,82628000795,89386509050,80281046010,89282650050,80281010800,89288185050;sjs1kisl@yandex.ru,ussr86@mail.ru,szs-kislovodsk@mail.ru,sjs2kisl@yandex.ru,d75239@yandex.ru;Кисловодск, ул. Войкова;;;2628036073,2628015080,2628060220,2628060238,2628051000
217;vk.com/sjs_ru;88005503385,89386509050,89283588700,89283602500,89282650050,89288185050;;;;;
218;parusa-mechti.ru;89787282645,84999389956;info@parusa-mechti.ru;;Перспектива;;
219;vk.com/parusamechti;83654777730;;;;;
220;youtube.com/channel/ucfh6v1569sdowidgbft2gtw;;;;;;
